plumed quail,9737844,6708559,15592681,13289405,4406068,9998984,8090990,16185078,12828602,4799807,7368555,4407095,14144455,10656385,16382456,12697497,8946533,16118770,10461032,6906712
san pedro quail,10786697,7233875,15000802,4143417,8165959,4999198,8553295,14607060,11645882,12834125,10656643,13353131,4732718,1905422,10179883,16579835,6840661,13881805,11510411,1973787
arizona quail,11573619,8547663,3616290,6837822,1841171,11970969,9078638,6116677,13221554,5128242,9600081,11704676,5323821,7823431,3349780,15395564,8089967,10327959,12368316,3878701
blue partridge,11969422,7755323,10454895,13683140,11628603,9664343,4206627,13349782,7559488,15918032,9081225,7168337,12159581,4339761,13228760,11183776,7228733,14275787,13869404,11302984
blue quail,7835329,16448250,11500346,12633810,6772809,15790320,5985109,2563875,11117471,13355461,14533796,10589061,5784371,7495243,4402205,11970969,9078638,6116677,13221554,5128242
chestnut bellied quail,8219468,10590062,4996650,11121769,10189910,5921622,2039328,11051674,13026500,13737756,16382456,9602166,13092544,6379083,10641732,14147524,9341061,4078134,6577752,1710360
mexican scaled quail,14336163,10457213,5457207,8417889,16111283,9413728,12892066,6315874,8487555,2826526,9330500,10977380,3744537,10329232,1443848,13222069,9669760,5787719,7695972,3879724
scaled partridge,15987439,10059102,12169359,14801346,11179888,16053492,10792082,4736834,15776021,1307892,16053233,10384727,11968392,7293746,14535605,15855603,8614770,6574672,12827325,10589075
scaled quail,8745030,4281381,12827040,10501154,15724004,11970969,9078638,6116677,13221554,5128242,16053233,10384727,11968392,7293746,14535605,14533796,10589061,5784371,7495243,4402205
douglas quail,16513786,10522245,12498351,7753792,3419437,13320213,13745331,6575697,16052718,2893088,14009997,5457210,9932162,14848597,9523753,8159041,5001507,11970176,11961692,13485228
douglas's quail,8158076,5986907,11250088,4671046,13158085,7697781,15132390,12368827,5395026,10394780,3096599,7367999,12235157,13947585,8622370,7500146,15856113,4934218,14145495,11447468
elegant quail,10791347,7675415,10122864,8736582,14195844,16053233,10384727,11968392,7293746,14535605,16053492,7826515,10720381,12892844,3813654,13222069,9669760,5787719,7695972,3879724
california partridge,16250871,6183005,3485486,9799289,12894657,16053492,10792082,4736834,15776021,1307892,15921904,10122832,13748922,12230013,5783852,16053235,9466969,11902082,13943215,5193001
californian valley quail,7697508,12829612,10394762,4404262,11584867,16250869,6972245,9537913,12170401,2432792,10263711,16052979,6050384,7893366,3944233,16579836,5262668,2564895,13750736,10066071
canfield's quail,16185078,8750469,13750737,11711154,4934475,16447990,7692346,12165235,13746337,3878422,14803425,5391170,1579047,9654319,12104110,15395564,8089967,10327959,12368316,3878701
catalina island quail,3158311,11772560,6710620,13944764,8227212,4144175,15789804,1579537,10587769,7168858,16119284,8684915,13421508,5593931,5796735,14736601,3552812,12696500,6973277,1185039
catalina quail,16579836,7758163,14274767,11772828,2563094,4343831,1119240,12302265,8486526,6447191,7697508,12829612,10394762,4404262,11584867,13220742,6445375,8551260,4339490,10721650
crested partridge,10851454,4274215,14342846,9189923,6523757,4866876,7693138,9410170,2829094,13150610,12758110,6638629,2694674,14119482,16046904,16053235,9466969,11902082,13943215,5193001
san lucas quail,2500141,14408672,65793,6842997,9410206,16708608,16680704,16691456,16697856,16668160,4930883,11053981,13225414,6510931,8287594,7439162,3297054,14584582,9672853,2234383
san quintin quail,16447993,7566184,12500665,1776407,8963032,15657960,6907996,12300456,4407867,1184271,6403483,13558187,8157777,11234619,10003569,5463096,12630696,10131074,15064525,7497557
valley quail,16579836,5262668,2564895,13750736,10066071,15395564,8089967,10327959,12368316,3878701,16579836,7758163,14274767,11772828,2563094,16579835,6840661,13881805,11510411,1973787
desert quail,15000547,7166291,3092277,12893875,10128774,15395564,8089967,10327959,12368316,3878701,9600081,11704676,5323821,7823431,3349780,13222069,9669760,5787719,7695972,3879724
gambeluuus quail,16053233,10384727,11968392,7293746,14535605,15395564,8089967,10327959,12368316,3878701,13222069,9669760,5787719,7695972,3879724,15921904,10122832,13748922,12230013,5783852
gambel's,15987698,9537669,7102814,12554097,3616301,16053233,10384727,11968392,7293746,14535605,9330500,10977380,3744537,10329232,1443848,13222069,9669760,5787719,7695972,3879724
gambel's crested partridge,9330500,3744793,7828069,10328975,1312776,3093804,6777176,11116187,12827324,9595995,16053235,9466969,11902082,13943215,5193001,13154976,10918274,6445391,8221285,4077363
gambel's partridge,10456950,4735804,6511957,2367260,12563357,16053235,9466969,11902082,13943215,5193001,15987439,10059102,12169359,14801346,11179888,16053233,10384727,11968392,7293746,14535605
gambel's quail,16053233,10384727,11968392,7293746,14535605,15395564,8089967,10327959,12368316,3878701,13222069,9669760,5787719,7695972,3879724,15921904,10122832,13748922,12230013,5783852
olathe quail,8749165,14803939,11181463,6444105,10513019,11843511,7038295,9604482,3684125,11711799,15461353,6377796,13618890,11709605,8022620,3686195,8092006,9809875,8557216,13621992
quail,15921649,6839900,13025982,9933198,2763309,16645371,10453103,13546659,7427658,14128755,14803425,5391170,1579047,9654319,12104110,16053492,7696231,5458749,12696504,2104343
