great tinamou,#6e794d,#484b2d,#a6b087,#e0e5d5,#232316,#564d38,#302a1a,#7b7260,#958b81,#afaaa2,#847a4e,#433d1f,#b4b176,#d1d592,#151408,#090c08,#68696c,#3f423e,#838598,#9ea1b5
little guan,#342a1f,#806752,#ddb88c,#c28d64,#c6cbba,#bac4cd,#b19051,#12100f,#609ec5,#65594a,#597287,#3c4035,#818759,#0d6d4d,#c6c7cb,#d0d6d4,#636565,#f8faf6,#8d9593,#c1947f
derby's guan,#b1a49e,#76504b,#2e1c1e,#876e6b,#ede8e7,#a19f99,#bcbcb8,#413f3d,#666560,#212020,#2b292d,#9d969c,#0a090c,#bcb5bb,#5e5a61,#f1f1f2,#2d2c3d,#85838b,#bcbbbf,#5150a6
horned guan,#42473d,#eff0ef,#191d19,#7e7e74,#aaaa9c,#aec5a3,#828c72,#30392d,#6a6148,#0e1d17,#262619,#707134,#bbb8ac,#d9625c,#909e20,#272c25,#606658,#afb0a7,#91938b,#d2d3de
central american curassow,#979358,#424e2f,#7e7342,#2a2d20,#695630,#a8a852,#837e4a,#464428,#a8a681,#2f2e17,#809b63,#676e5d,#4e4b47,#899a99,#8c395d,#857f58,#34322e,#a39977,#5b613c,#1b1a17
globose curassow,#f9f9f8,#363b37,#646d6c,#a4a9ac,#b06450,#332d29,#62574c,#ababac,#0e1620,#837771,#f1eddc,#676557,#bcb8a3,#95927f,#404036,#748659,#a1b57a,#3f4a3b,#c3d1a2,#556349
great curassow,#192713,#645c46,#f4f5ef,#386143,#a9654c,#182111,#474d30,#508636,#9e5354,#767a76,#364126,#f2f4f2,#66954a,#904e4e,#bfc4bc,#26291d,#445b29,#73a022,#89997b,#8ec10c
mexican curassow,#857f58,#34322e,#a39977,#5b613c,#c4b18d,#332d29,#62574c,#ababac,#0e1620,#837771,#354031,#9bb77e,#67805b,#9a9164,#181d17,#5e5d49,#d9d6bf,#97966f,#f6a277,#fafbf4
bearded partridge,#fbfbfb,#5b504e,#312b2c,#958680,#bfb6b5,#986655,#daa791,#432e28,#faf9f6,#1d1515,#49555f,#e9ccc7,#608399,#b67865,#744838,#43443c,#8f8a75,#cbc8b8,#756953,#8099a6
bearded tree quail,#fbfbfb,#5b504e,#312a2c,#958680,#bfb6b5,#f6f6f6,#2b2b32,#bbbbbb,#5e5e64,#8e8e90,#f4f4f4,#242424,#c4c3c6,#9b9b9c,#636363,#474e59,#57bcde,#e7eff2,#b0b2b6,#060607
bearded wood partridge,#959393,#3d342e,#60554c,#e6d6ae,#1b140f,#f9f9f8,#928476,#c6c5bf,#61574b,#91654d,#aeb3b9,#6a5646,#bf9f7c,#934820,#2e2f29,#57452f,#bfa188,#866b4f,#f2efe6,#b06741
long tailed wood partridge,#9b8657,#d3ba95,#4b412b,#1b160d,#ab9f16,#d2b191,#b0906e,#7f6b51,#6a503e,#8f8d4e,#848e6c,#b1c09d,#4b503e,#d4dedc,#b69060,#917a6b,#6c5b53,#b7aba1,#3a2b29,#e4e8eb
long tailed partridge,#a58964,#735d46,#c6bbaa,#594534,#c2a476,#958964,#c2b6a4,#b0a28b,#7b654a,#e4d9c5,#abb1b5,#c9d3d9,#816a57,#574837,#353631,#bababc,#3a3634,#191716,#989695,#726e6b
long tailed quail,#b5a391,#655950,#988c73,#30251e,#090605,#937c51,#b39964,#513c2d,#776047,#331d14,#eaeaec,#7b716f,#9e9898,#bdbabc,#3b2f2d,#b88959,#8b8460,#58462f,#646256,#b8a68d
long tailed tree quail,#323f2b,#5e6354,#c2beb6,#181f16,#dfddd6,#b5a391,#655950,#908570,#241d18,#090605,#6b6c67,#423b34,#879499,#151415,#bfc6c1,#b88959,#8c8460,#58462f,#b9a68d,#7f603c
