Name,id
Khaki (HTML/CSS) (Khaki),577
Khaki (X11) (Light khaki),578
Kiwi,579
Kobe,580
Kobi,581
Kobicha,582
Kombu green,583
KSU Purple,584
KU Crimson,585
La Salle Green,586
Languid lavender,587
Lapis lazuli,588
Laser Lemon,589
Laurel green,590
Lava,591
Lavender (floral),592
Lavender (web),593
Lavender blue,594
Lavender blush,595
Lavender gray,596
Lavender indigo,597
Lavender magenta,598
Lavender mist,599
Lavender pink,600
Lavender purple,601
Lavender rose,602
Lawn green,603
Lemon,604
Lemon chiffon,605
Lemon curry,606
Lemon glacier,607
Lemon lime,608
Lemon meringue,609
Lemon yellow,610
Licorice,611
Liberty,612
Light apricot,613
Light blue,614
Light brown,615
Light carmine pink,616
Light cobalt blue,617
Light coral,618
Light cornflower blue,619
Light crimson,620
Light cyan,621
Light deep pink,622
Light French beige,623
Light fuchsia pink,624
Light goldenrod yellow,625
Light gray,626
Light grayish magenta,627
Light green,628
Light hot pink,629
Light khaki,630
Light medium orchid,631
Light moss green,632
Light orchid,633
Light pastel purple,634
Light pink,635
Light red ochre,636
Light salmon,637
Light salmon pink,638
Light sea green,639
Light sky blue,640
Light slate gray,641
Light steel blue,642
Light taupe,643
Light Thulian pink,644
Light yellow,645
Lilac,646
Lilac Luster,647
Lime (color wheel),648
Lime (web) (X11 green),649
Lime green,650
Limerick,651
Lincoln green,652
Linen,653
Loeen(lopen)look/vomit+indogo+Lopen+Gabriel,654
Liseran Purple,655
Little boy blue,656
Liver,657
Liver (dogs),658
Liver (organ),659
Liver chestnut,660
Livid,661
Lumber,662
Lust,663
Maastricht Blue,664
Macaroni and Cheese,665
Madder Lake,666
Magenta,667
Magenta (Crayola),668
Magenta (dye),669
Magenta (Pantone),670
Magenta (process),671
Magenta haze,672
Magenta-pink,673
Magic mint,674
Magic Potion,675
Magnolia,676
Mahogany,677
Maize,678
Majorelle Blue,679
Malachite,680
Manatee,681
Mandarin,682
Mango Tango,683
Mantis,684
Mardi Gras,685
Marigold,686
